Rank;Countries;Total;Albania;Austria;Belarus;Belgium;Croatia;Cyprus;Denmark;Estonia;FYR Macedonia;Finland;France;Germany;Greece;Iceland;Ireland;Israel;Latvia;Lithuania;Malta;Netherlands;Norway;Poland;Portugal;Romania;Serbia;Slovenia;Spain;Sweden;Switzerland;Ukraine;United Kingdom;Bulgaria;Hungary;Moldova;Armenia;Czech Republic;Georgia;Montenegro;Azerbaijan;San Marino;Italy;Australia
1;Portugal;758;14;20;17;20;17;15;15;18;17;20;24;22;13;24;15;24;22;24;18;24;22;22;0;13;20;20;24;22;24;20;20;7;19;13;22;20;20;8;16;19;10;14
2;Bulgaria;615;20;17;24;18;18;17;14;19;24;13;9;13;12;10;16;17;15;14;18;18;20;14;8;18;16;15;16;14;14;2;19;0;22;18;7;14;13;8;14;14;10;13
3;Moldova;374;0;3;10;7;4;6;11;4;8;8;7;7;13;6;8;8;9;8;1;5;8;6;18;20;14;3;13;16;0;16;12;10;10;0;14;8;0;3;20;8;20;22
4;Belgium;363;5;10;6;0;5;5;8;14;4;10;8;10;5;12;17;14;22;14;5;12;7;22;18;5;3;11;8;13;13;6;8;4;8;2;5;4;0;10;4;13;9;4
5;Sweden;344;2;5;11;14;6;11;24;6;6;18;8;4;3;16;6;13;4;9;7;10;11;7;8;9;3;7;10;0;11;7;12;2;4;11;9;7;9;7;3;2;10;12
6;Italy;334;24;12;0;5;7;18;0;5;8;15;15;4;11;12;1;10;3;13;24;2;9;0;4;6;14;12;18;7;12;0;2;0;4;4;6;1;7;18;6;13;0;2
7;Romania;282;7;10;2;6;6;4;4;6;4;3;10;6;7;5;20;7;8;4;11;8;10;7;7;0;4;2;7;3;4;3;7;11;6;24;2;6;0;10;5;6;10;10
8;Hungary;200;6;10;8;1;24;0;3;9;3;4;2;4;0;6;2;1;2;2;5;6;4;5;2;10;22;5;0;4;8;12;1;6;0;1;0;0;0;7;7;4;4;0
9;Australia;173;4;0;7;6;6;4;10;7;8;10;2;5;0;10;0;0;5;1;0;4;3;7;5;4;3;7;8;10;4;2;10;0;7;4;0;10;0;0;0;0;0;0
10;Norway;158;0;3;11;7;2;0;13;10;2;3;7;12;0;2;2;5;8;16;0;7;0;3;2;0;0;0;0;6;5;1;0;0;6;0;5;0;7;0;0;10;3;0
11;Netherlands;150;0;12;5;10;9;0;6;4;0;0;4;8;0;0;4;0;0;2;0;0;4;8;3;12;0;1;3;3;7;3;4;10;8;0;0;8;1;0;0;7;0;4
12;France;135;6;0;4;4;3;5;0;1;11;1;0;0;4;0;0;10;0;0;4;0;0;0;10;4;2;0;3;0;3;11;0;12;1;5;11;0;3;5;5;0;7;0
13;Croatia;128;7;4;0;0;0;0;0;0;10;0;0;11;0;0;3;0;0;0;9;3;1;1;0;6;5;12;0;2;8;7;5;1;5;0;0;0;0;17;1;3;6;1
14;Azerbaijan;120;2;0;0;4;0;1;0;0;0;0;0;0;10;0;1;0;0;0;0;0;0;1;12;0;0;4;0;0;0;6;0;5;4;15;0;10;22;5;0;6;12;0
15;United Kingdom;111;8;1;0;2;0;5;0;6;3;2;3;6;1;7;4;0;4;0;4;5;1;5;0;0;0;10;1;0;0;0;0;0;3;0;4;5;0;0;0;6;0;15
16;Austria;93;0;0;4;3;1;0;7;0;0;0;1;2;0;0;7;0;6;5;0;3;0;0;10;1;4;0;3;4;0;0;3;12;0;2;1;4;5;1;0;0;1;3
17;Belarus;83;0;7;0;0;5;0;0;2;0;0;0;0;3;0;0;3;8;1;2;0;0;4;0;0;0;0;0;0;0;20;1;2;0;4;0;3;6;0;12;0;0;0
18;Armenia;79;7;0;0;0;0;1;1;0;0;0;6;0;10;0;0;0;0;3;1;0;0;2;0;0;5;3;0;0;0;0;0;4;2;6;0;2;13;4;0;4;4;1
19;Greece;77;4;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;11;0;7;11;0;0;12;5;0;0;0
20;Denmark;77;0;0;3;0;3;0;0;5;7;4;0;0;0;3;0;0;0;0;0;8;8;0;0;5;0;0;0;5;0;0;2;0;5;0;0;6;0;0;0;0;0;13
21;Cyprus;68;0;0;0;5;0;0;0;0;0;5;0;0;24;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;3;2;0;19;0;6;1;0;0;0;0
22;Poland;64;0;2;2;4;0;0;0;0;0;0;1;2;0;3;7;0;0;0;0;1;3;0;0;0;0;4;0;5;0;0;10;7;0;0;0;1;0;0;6;1;3;2
23;Israel;39;0;0;1;0;0;0;0;0;1;0;9;0;0;0;0;0;0;0;7;0;5;0;0;2;1;0;0;0;0;0;0;8;0;0;0;0;0;0;5;0;0;0
24;Ukraine;36;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;1;0;0;0;7;4;0;7;0;7;0
25;Germany;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
26;Spain;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
